"","t","time","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient","vix.open","vix.high","vix.low","vix.close","sma","ema","macd","macd_hist","macd_signal","slowd","slowk","rsi","adx","cci","aroon_down","aroon_up","real_lower_band","real_middle_band","real_upper_band","chaikin_a_d","obv"
"2237",2237,2019-08-13,228.81,236,227.55,235,235,4868998,0,1,21.28,21.64,17.52,17.52,224.0995,236.3488,-0.688,-1.5198,0.8318,58.8194,51.6082,47.9761,12.0848,37.212,16.6667,76.6667,183.0011,224.0995,265.1979,278657390.3514,131971212
"2238",2238,2019-08-14,231.21,231.5,216.69,219.62,219.62,9562591,0,1,17.81,22.71,17.75,22.1,224.3372,235.8003,-1.8985,-2.1843,0.2857,48.3172,33.8652,45.8208,11.9093,-7.0752,15,75,183.511,224.3372,265.1633,272878511.9281,122408621
"2239",2239,2019-08-15,220.86,221.56,211.55,215.64,215.64,8231952,0,1,21.58,24.1,20.78,21.18,224.5132,235.1393,-3.1428,-2.7429,-0.4,38.8594,31.1048,45.2854,11.8503,-35.7034,13.3333,73.3333,183.9303,224.5132,265.0961,271373569.6543,114176669
"2240",2240,2019-08-16,216.66,222.24,216.02,219.94,219.94,5207376,0,1,20.48,20.5,18.41,18.47,224.9667,234.641,-3.7389,-2.6711,-1.0677,28.5361,20.6383,45.9789,11.7755,-24.4025,11.6667,71.6667,185.215,224.9667,264.7184,272729831.5707,119384045
"2241",2241,2019-08-19,224.21,227.83,221.7,226.83,226.83,5311748,0,1,17.93,18.22,16.52,16.88,225.489,234.3849,-3.6136,-2.0367,-1.5769,29.6623,37.2438,47.0721,11.5584,0.2422,10,70,186.4837,225.489,264.4943,276308545.9655,124695793
"2242",2242,2019-08-20,227.62,229.09,224.54,225.86,225.86,4170527,0,1,16.78,17.7,16.45,17.5,226.0762,234.1054,-3.5517,-1.5798,-1.9719,38.0206,56.1797,46.9361,11.3163,2.6006,8.3333,68.3333,188.1416,226.0762,264.0108,274557841.2249,120525266
"2243",2243,2019-08-21,222.01,223.22,217.6,220.83,220.83,7799744,0,1,17.01,17.04,15.51,15.8,226.6117,233.6701,-3.8639,-1.5136,-2.3503,51.9336,62.3773,46.2318,11.2406,-29.6332,6.6667,66.6667,189.9158,226.6117,263.3076,275723639.2604,112725522
"2244",2244,2019-08-22,222.8,225.4,218.22,222.15,222.15,6564964,0,1,16.12,17.68,15.63,16.68,227.1498,233.2924,-3.9592,-1.2872,-2.6721,58.5788,57.1794,46.4463,11.1097,-26.6133,5,65,191.6997,227.1498,262.6,276345390.7256,119290486
"2245",2245,2019-08-23,219.97,221.17,211,211.4,211.4,8559704,0,1,16.15,21.07,16.04,19.87,227.5362,232.5746,-4.8463,-1.7394,-3.1069,51.1878,34.0067,44.9611,11.1423,-69.8866,3.3333,63.3333,193.3073,227.5362,261.7651,268459016.4405,110730782
"2246",2246,2019-08-26,213.6,215.02,211.54,215,215,5054414,0,1,20.34,21.33,19.06,19.32,228.0335,231.9984,-5.1989,-1.6736,-3.5253,38.3092,23.7414,45.554,11.1739,-78.8267,1.6667,61.6667,195.4545,228.0335,260.6125,273455333.7278,115785196
"2247",2247,2019-08-27,215.74,218.8,212.03,214.08,214.08,5420727,0,1,20.18,21.04,18.49,20.31,228.6187,231.4109,-5.4893,-1.5712,-3.9181,24.3284,15.2372,45.4268,11.0996,-79.421,0,60,198.4108,228.6187,258.8266,271317469.4605,110364469
"2248",2248,2019-08-28,213.69,217.25,212.31,215.59,215.59,3223082,0,1,20.55,21.64,19.1,19.35,228.9852,230.8922,-5.5339,-1.2926,-4.2413,21.3679,25.1252,45.6799,11.0277,-84.5188,0,58.3333,199.9758,228.9852,257.9945,272374431.5738,113587551
"2249",2249,2019-08-29,219,223.4,218,221.71,221.71,5183104,0,1,19.02,19.2,17.6,17.88,229.4038,230.5912,-5.0175,-0.621,-4.3965,28.9691,46.545,46.6989,10.7891,-52.1958,0,56.6667,201.5757,229.4038,257.232,274313296.4035,118770655
"2250",2250,2019-08-30,229.15,232.44,224.213,225.61,225.61,9327775,0,1,17.94,19.18,17.09,18.98,229.7315,230.4278,-4.2446,0.1215,-4.3661,44.5086,61.8555,47.3391,10.5295,-14.4977,0,55,202.5605,229.7315,256.9025,268153359.4185,128098430
"2251",2251,2019-09-03,224.08,228.95,223.16,225.01,225.01,5360546,0,1,20.96,21.15,19.41,19.66,230.0733,230.2502,-3.6386,0.5821,-4.2206,60.2766,72.4293,47.2503,10.2514,-28.4932,0,53.3333,203.6756,230.0733,256.4711,266218378.2199,122737884
"2252",2252,2019-09-04,226.89,228.46,219.205,220.68,220.68,5768696,0,1,18.23,18.83,17.26,17.33,230.2033,229.9364,-3.4677,0.6023,-4.07,63.9279,57.4989,46.6088,9.9383,-49.7878,5,51.6667,204.07,230.2033,256.3366,262288434.5916,116969188
"2253",2253,2019-09-05,222.5,229.8,220.85,229.58,229.58,7403322,0,1,16.92,17.05,15.45,16.27,230.4113,229.9247,-2.5843,1.1886,-3.7729,63.906,61.79,48.0823,9.6131,-24.3606,3.3333,50,204.5008,230.4113,256.3219,269327794.3927,124372510
"2254",2254,2019-09-06,227.2,229.64,225.17,227.45,227.45,4189372,0,1,15.92,16.06,14.91,15,230.7145,229.8436,-2.0327,1.3921,-3.4249,60.2152,61.3569,47.7615,9.2988,-21.6615,1.6667,48.3333,205.3818,230.7145,256.0472,269412144.1645,120183138
"2255",2255,2019-09-09,230,233.76,229.23,231.79,231.79,4802669,0,1,15.26,16.13,14.95,15.27,231.0125,229.9074,-1.2312,1.755,-2.9861,66.4885,76.3187,48.4739,9.1043,5.3546,0,46.6667,206.0597,231.0125,255.9653,270037657.3456,124985807
